algorithm,instance,objective,runtime
GRASP,132167,1874,290.5934455394745
GRASP,132167,1887,283.0811131000519
GRASP,132167,2186,274.41481280326843
GRASP,132167,2139,286.61225867271423
GRASP,132167,2428,274.5636613368988
GRASP,132167,2044,291.87446641921997
GRASP,132167,1937,283.26825428009033
GRASP,132167,2063,285.18469405174255
GRASP,132167,2165,268.0985269546509
GRASP,132167,2093,288.7670040130615
GRASP,132167,2130,279.6845238208771
GRASP,132167,2170,288.0587646961212
GRASP,132167,2134,278.48652386665344
GRASP,132167,2065,285.9410388469696
GRASP,132167,2115,282.0325028896332
GRASP,132167,2088,263.5461485385895
GRASP,132167,1963,285.5707094669342
GRASP,132167,2103,255.83070707321167
GRASP,132167,2064,287.9953169822693
GRASP,132167,2199,285.9069604873657
GRASP,132167,2379,278.7154231071472
GRASP,132167,2202,292.08328127861023
GRASP,132167,2021,269.7402319908142
GRASP,132167,2022,259.3050618171692
GRASP,132167,2208,278.3687198162079
GRASP,132167,2152,283.2909743785858
GRASP,132167,1865,233.11434245109558
GRASP,132167,1977,262.53827118873596
GRASP,132167,2139,280.15755581855774
GRASP,132167,2342,282.1119546890259
GRASP,3e559b,5083,257.8023450374603
GRASP,3e559b,5024,261.1811304092407
GRASP,3e559b,5070,266.0000102519989
GRASP,3e559b,5066,242.33721780776978
GRASP,3e559b,5057,253.50083780288696
GRASP,3e559b,5002,218.46049070358276
GRASP,3e559b,5083,261.57391834259033
GRASP,3e559b,5064,239.8042721748352
GRASP,3e559b,5071,238.82926726341248
GRASP,3e559b,5083,267.5638425350189
GRASP,3e559b,5074,281.2993333339691
GRASP,3e559b,5075,237.463045835495
GRASP,3e559b,5042,233.44576692581177
GRASP,3e559b,5052,251.24036288261414
GRASP,3e559b,5037,244.7934386730194
GRASP,3e559b,5057,247.68669319152832
GRASP,3e559b,5083,277.42225408554077
GRASP,3e559b,5059,254.1645963191986
GRASP,3e559b,5061,247.5929660797119
GRASP,3e559b,5076,261.5179398059845
GRASP,3e559b,5052,251.19635605812073
GRASP,3e559b,5070,261.8766601085663
GRASP,3e559b,5070,278.6491017341614
GRASP,3e559b,5052,250.88732957839966
GRASP,3e559b,5079,254.8153293132782
GRASP,3e559b,5037,235.0555441379547
GRASP,3e559b,5043,241.10709810256958
GRASP,3e559b,5050,238.31390023231506
GRASP,3e559b,5040,246.26355147361755
GRASP,3e559b,5036,254.29876446723938
GRASP,4fceab,4568,284.6738908290863
GRASP,4fceab,4508,286.9512038230896
GRASP,4fceab,4464,291.95164489746094
GRASP,4fceab,4525,260.3973288536072
GRASP,4fceab,4505,280.1666440963745
GRASP,4fceab,4470,288.04053115844727
GRASP,4fceab,4478,285.0670602321625
GRASP,4fceab,4518,271.6371314525604
GRASP,4fceab,4515,287.2450792789459
GRASP,4fceab,4532,291.7943468093872
GRASP,4fceab,4498,286.6364381313324
GRASP,4fceab,4506,289.6140327453613
GRASP,4fceab,4521,288.574010848999
GRASP,4fceab,4486,209.0909559726715
GRASP,4fceab,4471,280.4257345199585
GRASP,4fceab,4499,282.39822793006897
GRASP,4fceab,4495,204.09548044204712
GRASP,4fceab,4505,258.9903995990753
GRASP,4fceab,4554,291.2834448814392
GRASP,4fceab,4505,228.64361429214478
GRASP,4fceab,4526,215.03714966773987
GRASP,4fceab,4519,292.61756443977356
GRASP,4fceab,4500,292.8680896759033
GRASP,4fceab,4456,276.32049584388733
GRASP,4fceab,4500,192.95138001441956
GRASP,4fceab,4492,289.7914307117462
GRASP,4fceab,4476,293.5167763233185
GRASP,4fceab,4504,278.50736141204834
GRASP,4fceab,4513,293.7688937187195
GRASP,4fceab,4519,287.5669176578522
GRASP,506fa3,5119,294.01373982429504
GRASP,506fa3,5114,293.3914210796356
GRASP,506fa3,5120,293.259477853775
GRASP,506fa3,5110,292.7770965099335
GRASP,506fa3,5100,292.24983167648315
GRASP,506fa3,5119,293.26437044143677
GRASP,506fa3,5109,293.76869916915894
GRASP,506fa3,5111,293.54462027549744
GRASP,506fa3,5107,294.0272614955902
GRASP,506fa3,5113,293.03327345848083
GRASP,506fa3,5113,293.8998508453369
GRASP,506fa3,5120,292.7668459415436
GRASP,506fa3,5113,293.97134280204773
GRASP,506fa3,5116,293.17066740989685
GRASP,506fa3,5111,293.41210317611694
GRASP,506fa3,5116,293.7216522693634
GRASP,506fa3,5117,292.3244767189026
GRASP,506fa3,5120,291.9083263874054
GRASP,506fa3,5121,291.41047191619873
GRASP,506fa3,5107,294.1666028499603
GRASP,506fa3,5121,292.9438376426697
GRASP,506fa3,5117,292.5177104473114
GRASP,506fa3,5112,291.6105782985687
GRASP,506fa3,5117,293.9176468849182
GRASP,506fa3,5120,293.51561307907104
GRASP,506fa3,5107,294.2202994823456
GRASP,506fa3,5127,294.14106464385986
GRASP,506fa3,5114,292.86319303512573
GRASP,506fa3,5113,293.84211254119873
GRASP,506fa3,5117,293.80456280708313
GRASP,802616,4723,288.32173895835876
GRASP,802616,4735,294.15766763687134
GRASP,802616,4736,287.44977927207947
GRASP,802616,4758,293.07801604270935
GRASP,802616,4740,292.4719114303589
GRASP,802616,4718,291.2389693260193
GRASP,802616,4744,287.4963638782501
GRASP,802616,4700,293.6577341556549
GRASP,802616,4756,293.3345241546631
GRASP,802616,4701,283.7649230957031
GRASP,802616,4726,293.41922783851624
GRASP,802616,4718,293.50327610969543
GRASP,802616,4747,290.71963930130005
GRASP,802616,4734,284.8505392074585
GRASP,802616,4727,293.3999569416046
GRASP,802616,4702,289.2195222377777
GRASP,802616,4787,290.6575744152069
GRASP,802616,4733,291.57341980934143
GRASP,802616,4705,290.408682346344
GRASP,802616,4712,292.34739089012146
GRASP,802616,4735,293.7779219150543
GRASP,802616,4737,292.91879320144653
GRASP,802616,4720,290.38494086265564
GRASP,802616,4706,289.4154267311096
GRASP,802616,4743,282.3175148963928
GRASP,802616,4731,291.55029344558716
GRASP,802616,4750,292.24808144569397
GRASP,802616,4722,291.936146736145
GRASP,802616,4730,292.6559340953827
GRASP,802616,4733,291.4699490070343
GRASP,88182c,1858,292.12852334976196
GRASP,88182c,1863,290.01907229423523
GRASP,88182c,1873,293.7388961315155
GRASP,88182c,1875,289.3777344226837
GRASP,88182c,1806,287.8000419139862
GRASP,88182c,1792,264.90945529937744
GRASP,88182c,1792,282.79861974716187
GRASP,88182c,1719,282.0335900783539
GRASP,88182c,1825,273.7480535507202
GRASP,88182c,1861,279.1653039455414
GRASP,88182c,1717,269.94051933288574
GRASP,88182c,1891,278.72239899635315
GRASP,88182c,1824,294.0274314880371
GRASP,88182c,1842,291.92120385169983
GRASP,88182c,1870,281.1273491382599
GRASP,88182c,1882,284.8354425430298
GRASP,88182c,1850,289.61452078819275
GRASP,88182c,1906,274.5568335056305
GRASP,88182c,1715,283.5038306713104
GRASP,88182c,1809,289.07358980178833
GRASP,88182c,1743,265.81761860847473
GRASP,88182c,1774,274.77501606941223
GRASP,88182c,1852,291.2240746021271
GRASP,88182c,1869,273.29840660095215
GRASP,88182c,1760,281.8715114593506
GRASP,88182c,1826,272.3032910823822
GRASP,88182c,1758,256.01386284828186
GRASP,88182c,1765,268.59414744377136
GRASP,88182c,1821,285.96756649017334
GRASP,88182c,1855,252.94102215766907
GRASP,8ea3cb,824,277.9177231788635
GRASP,8ea3cb,883,291.225305557251
GRASP,8ea3cb,966,277.9250032901764
GRASP,8ea3cb,968,248.38915920257568
GRASP,8ea3cb,910,293.6392488479614
GRASP,8ea3cb,806,281.7892038822174
GRASP,8ea3cb,858,253.33004665374756
GRASP,8ea3cb,979,276.3478972911835
GRASP,8ea3cb,938,252.86580443382263
GRASP,8ea3cb,952,248.50966811180115
GRASP,8ea3cb,815,243.9877507686615
GRASP,8ea3cb,842,207.11906719207764
GRASP,8ea3cb,834,267.0065655708313
GRASP,8ea3cb,937,237.60348796844482
GRASP,8ea3cb,916,253.73605728149414
GRASP,8ea3cb,925,292.76290011405945
GRASP,8ea3cb,893,257.6867699623108
GRASP,8ea3cb,1006,241.03067779541016
GRASP,8ea3cb,938,250.62027883529663
GRASP,8ea3cb,1015,240.89869952201843
GRASP,8ea3cb,847,290.63303899765015
GRASP,8ea3cb,906,263.2909646034241
GRASP,8ea3cb,928,292.2342064380646
GRASP,8ea3cb,845,255.3754997253418
GRASP,8ea3cb,839,220.31098079681396
GRASP,8ea3cb,979,286.74125361442566
GRASP,8ea3cb,882,286.07324743270874
GRASP,8ea3cb,933,274.28621673583984
GRASP,8ea3cb,869,268.4890148639679
GRASP,8ea3cb,937,210.33320569992065
GRASP,cd97cf,2119,241.34478521347046
GRASP,cd97cf,2172,276.61927008628845
GRASP,cd97cf,2097,281.79631900787354
GRASP,cd97cf,2074,271.39945244789124
GRASP,cd97cf,2056,275.69621419906616
GRASP,cd97cf,2140,247.92302680015564
GRASP,cd97cf,2058,264.0753493309021
GRASP,cd97cf,2202,288.99785017967224
GRASP,cd97cf,2136,266.4394419193268
GRASP,cd97cf,2199,252.2527561187744
GRASP,cd97cf,2196,232.86787462234497
GRASP,cd97cf,2090,256.757981300354
GRASP,cd97cf,2194,279.7123429775238
GRASP,cd97cf,2000,252.7946264743805
GRASP,cd97cf,2057,256.433021068573
GRASP,cd97cf,2067,245.39713215827942
GRASP,cd97cf,2071,235.6745641231537
GRASP,cd97cf,2035,255.5374858379364
GRASP,cd97cf,2013,261.11963629722595
GRASP,cd97cf,1955,224.79503965377808
GRASP,cd97cf,2012,238.70685863494873
GRASP,cd97cf,2034,266.74462151527405
GRASP,cd97cf,2221,251.09098935127258
GRASP,cd97cf,2124,257.6539816856384
GRASP,cd97cf,2172,221.69988822937012
GRASP,cd97cf,1981,222.39403295516968
GRASP,cd97cf,2139,236.69618701934814
GRASP,cd97cf,2064,245.8969395160675
GRASP,cd97cf,2013,261.35448575019836
GRASP,cd97cf,2075,246.44175004959106
GRASP,f79242,4703,285.5003070831299
GRASP,f79242,4686,289.7611527442932
GRASP,f79242,4719,291.4649999141693
GRASP,f79242,4686,291.86443877220154
GRASP,f79242,4738,291.4424228668213
GRASP,f79242,4698,287.403817653656
GRASP,f79242,4681,290.56669092178345
GRASP,f79242,4682,293.5770175457001
GRASP,f79242,4670,292.18547344207764
GRASP,f79242,4694,282.5479621887207
GRASP,f79242,4724,292.6330497264862
GRASP,f79242,4693,292.9940731525421
GRASP,f79242,4712,289.93806171417236
GRASP,f79242,4691,292.1938376426697
GRASP,f79242,4693,287.9513795375824
GRASP,f79242,4704,280.3832905292511
GRASP,f79242,4707,282.0666584968567
GRASP,f79242,4710,282.55997037887573
GRASP,f79242,4700,286.283162355423
GRASP,f79242,4703,292.6242299079895
GRASP,f79242,4676,293.1877293586731
GRASP,f79242,4686,293.50057554244995
GRASP,f79242,4662,287.5782232284546
GRASP,f79242,4685,292.9220681190491
GRASP,f79242,4676,288.6891243457794
GRASP,f79242,4676,288.1502203941345
GRASP,f79242,4697,292.27189016342163
GRASP,f79242,4694,286.1873655319214
GRASP,f79242,4685,291.93203711509705
GRASP,f79242,4705,290.7726113796234
